Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
23/11/2019,15:00,Arsenal,Southampton,2,2
23/11/2019,15:00,Bournemouth,Wolves,1,2
23/11/2019,15:00,Brighton,Leicester,0,2
23/11/2019,15:00,Crystal Palace,Liverpool,1,2
23/11/2019,15:00,Everton,Norwich,0,2
23/11/2019,15:00,Watford,Burnley,0,3
23/11/2019,17:30,Man City,Chelsea,2,1
24/11/2019,16:30,Sheffield United,Man United,3,3
25/11/2019,20:00,Aston Villa,Newcastle,2,0
30/11/2019,12:30,Newcastle,Man City,2,2
30/11/2019,15:00,Burnley,Crystal Palace,0,2
30/11/2019,15:00,Chelsea,West Ham,0,1
30/11/2019,15:00,Liverpool,Brighton,2,1
30/11/2019,15:00,Tottenham,Bournemouth,3,2
30/11/2019,17:30,Southampton,Watford,2,1
01/12/2019,14:00,Norwich,Arsenal,2,2
01/12/2019,14:00,Wolves,Sheffield United,1,1
01/12/2019,16:30,Leicester,Everton,2,1
01/12/2019,16:30,Man United,Aston Villa,2,2
03/12/2019,19:30,Crystal Palace,Bournemouth,1,0
03/12/2019,20:15,Burnley,Man City,1,4
04/12/2019,19:30,Chelsea,Aston Villa,2,1
04/12/2019,19:30,Leicester,Watford,2,0
04/12/2019,19:30,Man United,Tottenham,2,1
04/12/2019,19:30,Southampton,Norwich,2,1
04/12/2019,19:30,Wolves,West Ham,2,0
04/12/2019,20:15,Liverpool,Everton,5,2
05/12/2019,19:30,Sheffield United,Newcastle,0,2
05/12/2019,20:15,Arsenal,Brighton,1,2
07/12/2019,12:30,Everton,Chelsea,3,1
07/12/2019,15:00,Bournemouth,Liverpool,0,3
07/12/2019,15:00,Tottenham,Burnley,5,0
07/12/2019,15:00,Watford,Crystal Palace,0,0
07/12/2019,17:30,Man City,Man United,1,2
08/12/2019,14:00,Aston Villa,Leicester,1,4
08/12/2019,14:00,Newcastle,Southampton,2,1
08/12/2019,14:00,Norwich,Sheffield United,1,2
08/12/2019,16:30,Brighton,Wolves,2,2
09/12/2019,20:00,West Ham,Arsenal,1,3
14/12/2019,12:30,Liverpool,Watford,2,0
14/12/2019,15:00,Burnley,Newcastle,1,0
14/12/2019,15:00,Chelsea,Bournemouth,0,1
14/12/2019,15:00,Leicester,Norwich,1,1
14/12/2019,15:00,Sheffield United,Aston Villa,2,0
14/12/2019,17:30,Southampton,West Ham,0,1
15/12/2019,14:00,Man United,Everton,1,1
15/12/2019,14:00,Wolves,Tottenham,1,2
15/12/2019,16:30,Arsenal,Man City,0,3
16/12/2019,19:45,Crystal Palace,Brighton,1,1
21/12/2019,12:30,Everton,Arsenal,0,0
21/12/2019,15:00,Aston Villa,Southampton,1,3
21/12/2019,15:00,Bournemouth,Burnley,0,1
21/12/2019,15:00,Brighton,Sheffield United,0,1
21/12/2019,15:00,Newcastle,Crystal Palace,1,0
21/12/2019,15:00,Norwich,Wolves,1,2
21/12/2019,17:30,Man City,Leicester,3,1
22/12/2019,14:00,Watford,Man United,2,0
22/12/2019,16:30,Tottenham,Chelsea,0,2
26/12/2019,12:30,Tottenham,Brighton,2,1
26/12/2019,15:00,Aston Villa,Norwich,1,0
26/12/2019,15:00,Bournemouth,Arsenal,1,1
26/12/2019,15:00,Chelsea,Southampton,0,2
26/12/2019,15:00,Crystal Palace,West Ham,2,1
26/12/2019,15:00,Everton,Burnley,1,0
26/12/2019,15:00,Sheffield United,Watford,1,1
26/12/2019,17:30,Man United,Newcastle,4,1
26/12/2019,20:00,Leicester,Liverpool,0,4
27/12/2019,19:45,Wolves,Man City,3,2
28/12/2019,12:30,Brighton,Bournemouth,2,0
28/12/2019,15:00,Newcastle,Everton,1,2
28/12/2019,15:00,Southampton,Crystal Palace,1,1
28/12/2019,15:00,Watford,Aston Villa,3,0
28/12/2019,17:30,Norwich,Tottenham,2,2
28/12/2019,17:30,West Ham,Leicester,1,2
28/12/2019,19:45,Burnley,Man United,0,2
29/12/2019,14:00,Arsenal,Chelsea,1,2
29/12/2019,16:30,Liverpool,Wolves,1,0
29/12/2019,18:00,Man City,Sheffield United,2,0
01/01/2020,12:30,Brighton,Chelsea,1,1
01/01/2020,12:30,Burnley,Aston Villa,1,2
01/01/2020,15:00,Newcastle,Leicester,0,3
01/01/2020,15:00,Southampton,Tottenham,1,0
01/01/2020,15:00,Watford,Wolves,2,1
01/01/2020,17:30,Man City,Everton,2,1
01/01/2020,17:30,Norwich,Crystal Palace,1,1
01/01/2020,17:30,West Ham,Bournemouth,4,0
01/01/2020,20:00,Arsenal,Man United,2,0
02/01/2020,20:00,Liverpool,Sheffield United,2,0
10/01/2020,20:00,Sheffield United,West Ham,1,0
11/01/2020,12:30,Crystal Palace,Arsenal,1,1
11/01/2020,15:00,Chelsea,Burnley,3,0
11/01/2020,15:00,Everton,Brighton,1,0
11/01/2020,15:00,Leicester,Southampton,1,2
11/01/2020,15:00,Man United,Norwich,4,0
11/01/2020,15:00,Wolves,Newcastle,1,1
11/01/2020,17:30,Tottenham,Liverpool,0,1
12/01/2020,14:00,Bournemouth,Watford,0,3
12/01/2020,16:30,Aston Villa,Man City,1,6
